entity_id,state,datetime
sensor.buro_temperatur_temperature,19.18,2024-12-05T14:00:52.142Z
sensor.buro_temperatur_temperature,19.37,2024-12-05T14:30:52.184Z
sensor.buro_temperatur_temperature,19.4,2024-12-05T15:00:52.131Z
sensor.buro_temperatur_temperature,19.32,2024-12-05T15:30:52.052Z
sensor.buro_temperatur_temperature,19.73,2024-12-05T16:00:52.136Z
sensor.buro_temperatur_temperature,20.09,2024-12-05T16:11:35.217Z
sensor.buro_temperatur_temperature,20.41,2024-12-05T16:16:35.214Z
sensor.buro_temperatur_temperature,20.73,2024-12-05T16:26:35.244Z
sensor.buro_temperatur_temperature,20.84,2024-12-05T16:30:52.059Z
sensor.buro_temperatur_temperature,21.22,2024-12-05T16:41:35.188Z
sensor.buro_temperatur_temperature,21.54,2024-12-05T16:51:35.171Z
sensor.buro_temperatur_temperature,21.67,2024-12-05T17:00:52.040Z
sensor.buro_temperatur_temperature,21.83,2024-12-05T17:30:52.045Z
sensor.buro_temperatur_temperature,22.04,2024-12-05T18:00:51.947Z
sensor.buro_temperatur_temperature,21.98,2024-12-05T19:00:51.837Z
sensor.buro_temperatur_temperature,22.08,2024-12-05T19:30:51.736Z
